Phylostratum	GeneID	X4wpc	X5wpc	X6wpc	X7wpc	X8wpc	X9wpc	X10wpc	X11wpc	X12wpc	X13wpc	X16wpc	X18wpc	X19wpc	Neonate	Infant	Toddler	School	Teen	YoungAdult	MidAdult	Elderly
4	ENSG00000151694	0.935	0.78	0.755	0.82	0.553333333333333	0.484	0.306666666666667	0.37	0.5	0.4	0.8	0.6	0.533333333333333	0.8	0.38	0.36	0.14	0.04	0.173333333333333	0.22	0.09
3	ENSG00000151702	0.82	0.83	0.7	0.84	0.603333333333333	0.428	0.333333333333333	0.28	0.8	0.48	0.69	0.84	0.54	0.77	0.51	0.26	0.14	0.16	0.186666666666667	0.02	0.18
6	ENSG00000151718	0.945	0.71	0.665	0.873333333333333	0.443333333333333	0.436	0.12	0.35	0.56	0.44	0.73	0.553333333333333	0.6	0.78	0.55	0.64	0.58	0.12	0.453333333333333	0.74	0.17
10	ENSG00000151725	0.83	0.41	0.615	0.706666666666667	0.683333333333333	0.7	0.553333333333333	0.48	0.56	0.44	0.57	0.573333333333333	0.6	0.25	0.08	0.18	0.02	0.14	0.193333333333333	0.1	0.07
4	ENSG00000151726	0.07	0.29	0.435	0.246666666666667	0.463333333333333	0.5	0.393333333333333	0.53	0.42	0.66	0.66	0.64	0.666666666666667	0.78	0.91	1	0.94	0.88	0.853333333333333	0.96	0.85
6	ENSG00000151743	0.92	0.91	0.58	0.773333333333333	0.283333333333333	0.528	0.22	0.52	0.72	0.6	0.5	0.286666666666667	0.72	0.78	0.52	0.54	0.1	0.12	0.52	0.18	0.33
3	ENSG00000151746	0.965	0.89	0.715	0.74	0.593333333333333	0.508	0.386666666666667	0.42	0.46	0.4	0.62	0.513333333333333	0.44	0.73	0.15	0.24	0.06	0.04	0.1	0.02	0.19
2	ENSG00000151748	0.735	0.36	0.58	0.833333333333333	0.713333333333333	0.628	0.493333333333333	0.42	0.86	0.4	0.79	0.806666666666667	0.733333333333333	0.45	0.21	0.64	0.06	0.02	0.146666666666667	0.2	0.06
10	ENSG00000151773	0.84	0.7	0.505	0.64	0.243333333333333	0.572	0.233333333333333	0.4	0.14	0.2	0.22	0.226666666666667	0.533333333333333	0.76	0.9	0.54	0.04	0.74	0.806666666666667	0.7	0.42
6	ENSG00000151779	0.565	0.46	0.67	0.6	0.68	0.484	0.78	0.6	0.44	0.36	0.57	0.46	0.286666666666667	0.36	0.08	0.24	0.2	0.08	0.146666666666667	0.04	0.11
6	ENSG00000151806	0.855	0.73	0.725	0.846666666666667	0.576666666666667	0.504	0.373333333333333	0.45	0.54	0.36	0.65	0.56	0.426666666666667	0.19	0.5	0.16	0.24	0.14	0.266666666666667	0.18	0.05
3	ENSG00000151835	0.9	0.77	0.735	0.84	0.606666666666667	0.504	0.44	0.39	0.46	0.36	0.71	0.493333333333333	0.433333333333333	0.54	0.17	0.18	0.16	0.06	0.08	0.04	0.16
