"","Phylostratum","GeneID","Zygote","Quadrant","Globular","Heart","Torpedo","Bent","Mature"
"21830",8,"at2g44010.1",697.8400293,632.7923674,588.687169,669.3220633,631.2778043,614.4424195,556.4984532
"21831",8,"at2g46535.1",693.4342534,662.8767474,692.7339942,748.8259895,766.2079502,785.1596264,725.6265352
"21832",8,"at2g47050.1",811.8951211,924.6203762,1696.718852,1208.793305,741.1551326,879.0018764,846.5275245
"21833",8,"at3g01130.1",8973.803989,11756.93009,11179.85248,11139.95534,9245.064953,5509.212278,2859.370126
"21834",8,"at3g01513.1",958.8988075,859.1702736,799.4254553,902.8002577,942.1791258,1127.23608,874.1169729
"21835",8,"at3g02125.1",693.5651468,696.743619,724.1281657,738.476317,675.471077,670.2306608,644.2854157
"21836",8,"at3g02480.1",1029.071195,852.5599475,1043.899026,1109.268354,1095.906906,1815.335119,3122.991088
"21837",8,"at3g05900.1",957.6330334,867.2438695,971.1595304,1040.526876,914.0491932,992.5171932,866.524213
"21838",8,"at3g06990.1",717.0132402,701.8802689,701.840836,787.9890022,751.3127339,686.5430806,683.7964509
"21839",8,"at3g09750.1",3616.842714,2654.884781,1253.750165,1373.98143,1319.241876,1197.858331,2108.293323
"21840",8,"at3g13140.1",789.3525753,886.8758395,961.0396269,995.7744067,1218.045836,1092.754177,848.2163397
"21841",8,"at3g13227.1",2958.757266,2195.61098,2326.052118,1596.935386,1146.769988,1258.560942,1561.632014
"21842",8,"at3g13275.1",1631.121718,1083.679245,921.1434373,982.3645146,1061.826985,1214.596478,866.205238
"21843",8,"at3g13360.1",1017.260581,1117.558727,947.4592477,988.8330053,984.2355748,1097.718335,906.8061574
"21844",8,"at3g13950.1",860.3967175,760.9780842,856.5601211,878.7878331,815.1002903,936.1689904,890.593204
"21845",8,"at3g14190.1",1318.901754,2079.023047,2875.867516,2735.097111,3377.541881,2539.30819,893.45889
"21846",8,"at3g15760.1",847.5687849,1070.305458,1189.364734,1030.125508,912.2455578,884.5279645,796.0316371
"21847",8,"at3g16555.1",820.9244732,753.4028118,756.3958298,801.5337729,794.828322,870.7759752,776.8387445
"21848",8,"at3g16820.1",749.5376871,768.5904552,830.3641079,847.9201992,892.8805957,813.8589441,764.7656707
"21849",8,"at3g17140.1",899.8514576,991.0357803,847.9771014,796.4837459,801.1415928,753.9303858,746.4596103
"21850",8,"at3g17225.1",820.598638,872.9921043,926.9490363,861.3300966,884.9810935,835.4067837,774.508278
"21851",8,"at3g18035.1",1988.174319,1656.786742,5408.998976,5489.671474,4587.642599,8565.15349,5981.195113
"21852",8,"at3g18485.1",2957.344967,3272.042292,2420.053351,2283.316371,2583.127037,1734.714172,1699.880199
"21853",8,"at3g19660.1",880.6203355,901.1721288,670.4748905,632.5027602,621.7486303,603.3321693,751.7749859
"21854",8,"at3g21055.1",905.9187702,1071.69178,1257.642191,2317.851449,3675.352009,1976.12173,816.7547069
"21855",8,"at3g22580.1",1173.26043,1166.24405,801.3975304,748.7480699,745.2077493,714.5701812,823.5295957
"21856",8,"at3g23420.1",1070.456875,1028.299556,1017.696783,1075.75795,1095.924512,1107.699241,1093.008269
"21857",8,"at3g23930.1",1258.583649,1156.599322,968.198135,1064.681266,1054.901639,1016.689758,1012.726985
"21858",8,"at3g24610.1",738.2987892,684.808019,677.5865751,762.9525436,726.554482,673.9979567,668.2365919
"21859",8,"at3g24750.1",738.0628655,655.8929935,733.9235187,850.0451643,843.7908751,779.8484953,726.3444132
"21860",8,"at3g24850.1",724.2038827,771.5994542,706.4732754,703.3636922,759.2354713,721.5307047,692.3305566
"21861",8,"at3g27680.1",699.1553006,711.2746244,651.987771,623.7321788,614.1528302,612.7130694,659.8100803
"21862",8,"at3g29740.1",655.5428493,697.9062272,690.8257188,633.3590496,616.0442054,615.8558438,633.1322932
"21863",8,"at3g30430.1",696.7215132,750.0300516,809.3389159,1070.851792,864.8900628,804.1594381,725.3983114
"21864",8,"at3g32260.1",782.2466064,714.391521,662.1815248,762.4024495,848.9558619,778.4715194,749.5346988
"21865",8,"at3g43110.1",737.6969301,833.6032391,782.0186373,729.1147566,707.8525553,667.5309121,689.7162223
"21866",8,"at3g44115.1",3721.46311,3763.805492,2705.094794,2283.410222,2166.089823,2668.438222,1870.170304
"21867",8,"at3g46880.1",655.9934488,587.9940913,646.8975242,692.4927162,707.871545,698.2986239,677.18608
"21868",8,"at3g48220.1",833.7621189,796.4311938,874.9430811,813.336629,743.8650291,756.9934806,1033.340839
"21869",8,"at3g49480.1",2188.454292,3692.059299,2266.198734,1977.655757,2212.272678,1544.431625,1567.150159
"21870",8,"at3g49580.1",880.1021443,738.1862507,672.1040054,699.4833755,735.1171041,714.2426417,1137.336453
"21871",8,"at3g49610.1",760.1315123,753.6711497,750.7426538,833.2911861,841.0515731,809.0489063,746.2979233
"21872",8,"at3g50630.1",731.4088043,809.5354015,718.8459623,700.043006,725.7690148,812.1553204,974.4440677
"21873",8,"at3g50900.1",775.2318132,786.2196923,893.188063,788.6379264,806.6993429,865.9368732,818.119874
"21874",8,"at3g51750.1",852.1827157,1092.320319,970.8318699,933.4484057,845.5461238,826.3041529,1312.38976
"21875",8,"at3g52690.1",998.8354907,864.1080172,900.1279396,880.3142269,886.4600393,904.1365673,3980.280153
"21876",8,"at3g53550.1",743.778926,669.7928637,728.1371048,766.752774,815.3633745,801.3263457,726.613615
"21877",8,"at3g53670.1",763.6007496,839.7806499,976.9611176,920.2933979,881.0498344,1007.011531,770.9353182
"21878",8,"at3g53770.1",747.8821822,762.8984994,827.5628537,738.999569,739.5161352,802.2397698,862.2308762
"21879",8,"at3g55690.1",8103.129737,13673.80975,10727.15554,10928.69285,5365.388182,10984.59587,4113.095727
"21880",8,"at3g58330.1",845.8649934,862.1687107,933.4906639,934.5426023,876.3309697,862.0310508,954.1232688
"21881",8,"at3g59130.1",721.833742,706.6013628,667.499557,729.5996577,737.9072799,699.1953342,677.9486086
"21882",8,"at3g59880.1",738.888251,791.8581995,770.4917009,774.4689708,816.8844892,771.9812808,775.7924703
"21883",8,"at4g00310.1",719.5612166,657.9517979,685.6423961,627.7020034,684.4763078,695.9224434,851.6468763
"21884",8,"at4g00670.1",792.5750186,809.267025,786.7332947,773.6714594,705.7232705,694.4645571,700.5740653
"21885",8,"at4g00695.3",847.5587738,881.9586078,952.1440975,931.7080042,903.7829685,858.0426507,782.6201442
"21886",8,"at4g00950.1",1326.386263,1231.470663,999.6924004,1006.372651,952.198701,923.9982662,1000.151744
"21887",8,"at4g01925.1",903.144454,839.5598489,882.3364814,899.2195054,895.733971,893.1816407,878.0743932
"21888",8,"at4g02950.1",690.8843813,706.0200019,686.2584952,716.0755063,714.7948468,657.2956097,659.9429184
"21889",8,"at4g05095.1",743.0027345,778.4336723,793.3276862,861.1429328,893.4477103,825.1546718,826.6767258
"21890",8,"at4g05270.1",797.1244001,793.4323221,795.5133966,778.7562289,790.2826799,853.1990134,836.4298446
"21891",8,"at4g05360.1",713.7649174,738.4002314,755.2736068,839.2943854,780.1469635,725.1341002,744.034936
"21892",8,"at4g05620.1",746.6076387,822.227393,792.6922442,813.2128647,886.5676648,919.215102,780.0092444
"21893",8,"at4g07515.1",18836.11737,21338.25802,9195.996301,9246.156771,9841.571855,8845.499437,10684.24833
"21894",8,"at4g07524.1",1513.090482,1773.56607,2352.375336,2319.084669,1494.413988,1287.674628,1292.268819
"21895",8,"at4g08025.1",11080.44206,12246.86389,8751.197425,7206.160699,10480.68356,17506.43204,7276.787648
"21896",8,"at4g08430.1",749.6664421,729.2877691,677.9594548,769.2555965,788.6419007,809.5724456,734.480285
"21897",8,"at4g09870.1",790.75555,823.4687856,787.3991592,845.8548719,784.7445257,757.1153422,790.3235566
"21898",8,"at4g10330.1",789.1095216,752.441095,851.9970521,892.6581705,835.1193403,796.7112929,848.7969353
