,GeneID
8605,ENSG00000168818
8613,ENSG00000168883
8618,ENSG00000168899
8632,ENSG00000169016
8641,ENSG00000169071
8660,ENSG00000169184
8682,ENSG00000169291
8684,ENSG00000169302
8694,ENSG00000169410
8715,ENSG00000169629
8720,ENSG00000169682
8742,ENSG00000169851
8751,ENSG00000169908
8768,ENSG00000170035
8772,ENSG00000170074
8780,ENSG00000170145
8784,ENSG00000170222
8806,ENSG00000170381
8838,ENSG00000170632
8840,ENSG00000170634
8855,ENSG00000170852
8869,ENSG00000170921
8883,ENSG00000171094
8933,ENSG00000171466
8945,ENSG00000171533
8954,ENSG00000171608
8975,ENSG00000171793
8978,ENSG00000171812
8984,ENSG00000171843
9003,ENSG00000171984
9010,ENSG00000172037
9018,ENSG00000172086
9036,ENSG00000172292
9047,ENSG00000172366
9060,ENSG00000172476
9065,ENSG00000172534
9079,ENSG00000172671
9108,ENSG00000172890
9111,ENSG00000172922
9121,ENSG00000173020
9123,ENSG00000173040
9134,ENSG00000173175
9146,ENSG00000173264
9149,ENSG00000173272
9152,ENSG00000173276
9176,ENSG00000173581
9177,ENSG00000173588
9206,ENSG00000173898
9208,ENSG00000173914
9215,ENSG00000173960
9238,ENSG00000174231
9249,ENSG00000174428
9252,ENSG00000174444
9276,ENSG00000174705
9290,ENSG00000174842
9297,ENSG00000174917
9311,ENSG00000175087
9325,ENSG00000175197
9334,ENSG00000175229
9350,ENSG00000175387
9351,ENSG00000175390
9372,ENSG00000175582
9396,ENSG00000175938
9400,ENSG00000176018
9428,ENSG00000176386
9432,ENSG00000176428
9444,ENSG00000176619
9454,ENSG00000176769
9461,ENSG00000176890
9464,ENSG00000176909
9474,ENSG00000177000
9480,ENSG00000177058
9502,ENSG00000177311
9541,ENSG00000177839
9571,ENSG00000178127
9578,ENSG00000178187
9579,ENSG00000178188
9593,ENSG00000178386
9618,ENSG00000178761
9644,ENSG00000179010
9667,ENSG00000179262
9676,ENSG00000179409
9702,ENSG00000179909
9706,ENSG00000179933
9719,ENSG00000180096
9723,ENSG00000180155
9729,ENSG00000180263
9733,ENSG00000180329
9760,ENSG00000180884
9761,ENSG00000180891
9776,ENSG00000181038
9782,ENSG00000181192
9784,ENSG00000181220
9787,ENSG00000181291
9789,ENSG00000181322
9815,ENSG00000181788
9850,ENSG00000182179
9856,ENSG00000182218
9866,ENSG00000182307
9919,ENSG00000182902
9922,ENSG00000182919
9955,ENSG00000183207
9971,ENSG00000183354
9978,ENSG00000183439
9982,ENSG00000183496
10064,ENSG00000184209
10068,ENSG00000184226
10075,ENSG00000184307
10079,ENSG00000184368
10088,ENSG00000184445
10092,ENSG00000184500
10095,ENSG00000184524
10096,ENSG00000184574
10101,ENSG00000184619
10102,ENSG00000184634
10115,ENSG00000184787
10116,ENSG00000184788
10119,ENSG00000184838
10125,ENSG00000184900
10136,ENSG00000184986
10149,ENSG00000185070
10157,ENSG00000185164
10167,ENSG00000185250
10170,ENSG00000185262
10175,ENSG00000185291
10182,ENSG00000185347
10196,ENSG00000185482
10221,ENSG00000185697
10236,ENSG00000185803
10246,ENSG00000185880
10250,ENSG00000185909
10256,ENSG00000185955
10270,ENSG00000186105
10282,ENSG00000186231
10287,ENSG00000186298
10290,ENSG00000186314
10293,ENSG00000186352
10296,ENSG00000186395
10298,ENSG00000186416
10300,ENSG00000186432
10304,ENSG00000186470
10325,ENSG00000186665
10326,ENSG00000186666
10352,ENSG00000187094
10359,ENSG00000187134
10361,ENSG00000187164
10364,ENSG00000187210
10375,ENSG00000187391
10379,ENSG00000187498
10395,ENSG00000187699
10401,ENSG00000187741
10412,ENSG00000187840
10413,ENSG00000187860
10416,ENSG00000187961
10422,ENSG00000188070
10424,ENSG00000188130
10427,ENSG00000188171
10431,ENSG00000188191
10438,ENSG00000188283
10439,ENSG00000188290
10444,ENSG00000188321
10446,ENSG00000188338
10453,ENSG00000188419
10474,ENSG00000188674
10481,ENSG00000188732
10487,ENSG00000188766
10499,ENSG00000188895
10502,ENSG00000188917
10511,ENSG00000189043
10528,ENSG00000189184
10538,ENSG00000189308
10581,ENSG00000196263
10582,ENSG00000196267
10584,ENSG00000196277
10587,ENSG00000196305
10595,ENSG00000196361
10612,ENSG00000196421
10618,ENSG00000196456
10625,ENSG00000196498
10633,ENSG00000196526
10644,ENSG00000196581
10650,ENSG00000196628
10660,ENSG00000196678
10671,ENSG00000196743
10700,ENSG00000196998
10708,ENSG00000197044
10714,ENSG00000197063
10744,ENSG00000197283
10749,ENSG00000197323
10755,ENSG00000197361
10773,ENSG00000197479
10777,ENSG00000197498
10785,ENSG00000197566
10789,ENSG00000197586
10803,ENSG00000197712
10824,ENSG00000197852
10838,ENSG00000197930
10845,ENSG00000197958
10851,ENSG00000197976
10858,ENSG00000198026
10871,ENSG00000198089
10875,ENSG00000198130
10879,ENSG00000198156
10882,ENSG00000198162
10914,ENSG00000198408
10926,ENSG00000198498
10930,ENSG00000198521
10935,ENSG00000198554
10948,ENSG00000198646
10957,ENSG00000198700
10975,ENSG00000198756
10981,ENSG00000198791
10988,ENSG00000198805
11004,ENSG00000198853
11020,ENSG00000198894
11039,ENSG00000198932
11046,ENSG00000198954
11054,ENSG00000203499
11070,ENSG00000203896
11072,ENSG00000203950
11073,ENSG00000203952
11092,ENSG00000204178
11094,ENSG00000204237
11103,ENSG00000204323
11105,ENSG00000204344
11114,ENSG00000204519
11143,ENSG00000205078
11149,ENSG00000205155
11180,ENSG00000205758
11190,ENSG00000206190
11206,ENSG00000211448
11218,ENSG00000213024
11239,ENSG00000213380
11241,ENSG00000213397
11265,ENSG00000213722
11290,ENSG00000214078
11298,ENSG00000214279
11309,ENSG00000214655
11321,ENSG00000215021
11322,ENSG00000215114
11323,ENSG00000215126
11326,ENSG00000215251
11327,ENSG00000215252
11351,ENSG00000221823
11354,ENSG00000221866
11355,ENSG00000221886
11370,ENSG00000223802
11376,ENSG00000224383
11379,ENSG00000224470
11392,ENSG00000225973
11397,ENSG00000226634
11402,ENSG00000226916
11403,ENSG00000227051
11429,ENSG00000231321
11441,ENSG00000233932
11463,ENSG00000236250
11490,ENSG00000239779
11498,ENSG00000240204
11503,ENSG00000240583
11508,ENSG00000240849
11515,ENSG00000241360
11516,ENSG00000241399
11540,ENSG00000242852
11547,ENSG00000243317
11548,ENSG00000243335
11566,ENSG00000244165
11579,ENSG00000247077
11602,ENSG00000250571
11613,ENSG00000253368
11621,ENSG00000253910
11626,ENSG00000254122
11653,ENSG00000256806
11655,ENSG00000257218
11661,ENSG00000258315
11669,ENSG00000259330
11678,ENSG00000261371
11693,ENSG00000262860
11696,ENSG00000263001
11714,ENSG00000265763
11732,ENSG00000268043
11744,ENSG00000271383
11763,ENSG00000273707
11770,ENSG00000273850
11803,ENSG00000275031
11805,ENSG00000275052
11807,ENSG00000275079
11816,ENSG00000275333
11817,ENSG00000275338
11825,ENSG00000275618
11831,ENSG00000275835
11835,ENSG00000275903
11855,ENSG00000276429
11862,ENSG00000276504
11870,ENSG00000276657
11871,ENSG00000276684
11877,ENSG00000276776
11886,ENSG00000276920
11888,ENSG00000277015
11902,ENSG00000277781
11904,ENSG00000277956
11911,ENSG00000278229
11949,ENSG00000280873
11952,ENSG00000280975
11955,ENSG00000281089
11957,ENSG00000281151
11959,ENSG00000281221
11967,ENSG00000281324
11969,ENSG00000281526
11970,ENSG00000281601
11977,ENSG00000281877
11979,ENSG00000281931
11986,ENSG00000282813
11990,ENSG00000282854
